ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501275,16/10/2024 16:00,,,,,87,22,3,SE,7
501275,16/10/2024 17:00,,,,,91,21,3,SE,6
501275,16/10/2024 18:00,,,,,93,21,1,SE,6
501275,16/10/2024 19:00,,,,,94,20,3,SE,6
501275,16/10/2024 20:00,,,,,94,20,4,SE,7
501275,16/10/2024 21:00,,,,,94,20,4,SE,7
501275,16/10/2024 22:00,,,,,93,19,4,SE,7
501275,16/10/2024 23:00,,,,,87,21,4,SE,8
501275,17/10/2024 00:00,,,,,74,24,4,SE,8
501275,17/10/2024 01:00,,,,,61,27,4,SE,8
501275,17/10/2024 02:00,,,,,52,28,3,SE,8
501275,17/10/2024 03:00,,,,,49,29,4,SE,8
501275,17/10/2024 04:00,,,,,48,30,4,S,21
501275,17/10/2024 05:00,,,,,48,30,4,S,21
501275,17/10/2024 06:00,,,,,49,29,4,S,21
501275,17/10/2024 07:00,,,,,50,29,4,S,21
501275,17/10/2024 08:00,,,,,53,28,4,S,21
501275,17/10/2024 09:00,,,,,56,27,3,S,21
501275,17/10/2024 10:00,,,,,60,26,3,SE,14
501275,17/10/2024 11:00,,,,,64,25,3,SE,14
501275,17/10/2024 12:00,20.0,30.0,48.0,87.0,67,25,1,SE,14
501275,17/10/2024 13:00,,,,,69,24,1,SE,14
501275,17/10/2024 14:00,,,,,71,24,3,SE,14
501275,17/10/2024 15:00,,,,,74,23,3,SE,14
501275,17/10/2024 16:00,,,,,77,22,3,SE,6
501275,17/10/2024 17:00,,,,,80,22,4,SE,6
501275,17/10/2024 18:00,,,,,82,21,3,SE,6
501275,17/10/2024 19:00,,,,,83,21,0,SE,6
501275,17/10/2024 20:00,,,,,84,21,0,SE,6
501275,17/10/2024 21:00,,,,,85,20,0,SE,6
501275,17/10/2024 22:00,,,,,87,20,0,SE,9
