Date;Price;Open;High;Low;Vol;Change
03/29/2023;23658,00;23695,00;23735,00;23400,00;2.33K;0.20%
03/28/2023;23610,00;23415,00;23700,00;23145,00;2.74K;1.18%
03/27/2023;23335,00;23665,00;23665,00;23190,00;2.71K;-0.82%
03/24/2023;23528,00;23390,00;23885,00;23330,00;2.19K;0.36%
03/23/2023;23443,00;23200,00;23535,00;23100,00;1.94K;2.07%
03/22/2023;22968,00;22690,00;23410,00;22595,00;2.03K;1.61%
03/21/2023;22605,00;22825,00;22945,00;22485,00;1.65K;-0.95%
03/20/2023;22821,00;22900,00;23030,00;22545,00;1.42K;0.79%
03/17/2023;22642,00;22055,00;22925,00;22005,00;1.54K;3.53%
03/16/2023;21870,00;22140,00;22355,00;21770,00;1.33K;-0.85%
03/15/2023;22058,00;21975,00;22680,00;21800,00;2.84K;-0.70%
03/14/2023;22214,00;22050,00;22240,00;21635,00;3.03K;0.55%
03/13/2023;22092,00;20875,00;22205,00;20840,00;4.95K;6.80%
03/10/2023;20686,00;20340,00;21040,00;20125,00;1.94K;1.68%
03/09/2023;20345,00;20310,00;20520,00;20210,00;2.44K;0.07%
03/08/2023;20331,00;20345,00;20455,00;20150,00;2.23K;-0.26%
03/07/2023;20383,00;21320,00;21360,00;20290,00;3.52K;-4.40%
03/06/2023;21321,00;21525,00;21570,00;21265,00;2.44K;-0.42%
03/03/2023;21411,00;21185,00;21540,00;21090,00;2.10K;1.59%
03/02/2023;21076,00;21225,00;21225,00;20970,00;1.25K;-0.94%
03/01/2023;21276,00;21195,00;21460,00;21155,00;1.76K;0.12%
02/28/2023;21250,00;20910,00;21300,00;20725,00;1.88K;1.33%
02/27/2023;20972,00;21180,00;21180,00;20825,00;1.83K;0.17%
02/24/2023;20936,00;21465,00;21520,00;20835,00;55.98K;-2.34%
02/23/2023;21438,00;21655,00;21810,00;21395,00;35.02K;-1.73%
02/22/2023;21816,00;22020,00;22125,00;21580,00;25.67K;-0.96%
02/21/2023;22027,00;21815,00;22135,00;21710,00;28.53K;1.00%
02/20/2023;21808,00;21595,00;21902,00;21558,00;;0.97%
02/19/2023;21598,00;21753,00;21753,00;21585,00;;-1.20%
02/17/2023;21861,00;21730,00;21945,00;21315,00;16.75K;-0.06%
02/16/2023;21875,00;21805,00;21965,00;21570,00;10.38K;0.58%
02/15/2023;21749,00;22045,00;22055,00;21580,00;8.91K;-1.41%
02/14/2023;22060,00;22200,00;22230,00;21775,00;8.92K;0.08%
02/13/2023;22042,00;22190,00;22270,00;21980,00;10.56K;-1.00%
