Date;Price;Open;High;Low;Vol;Change
12/12/2019;7300;7325;7450;7275;39.87M;-0.68%
12/11/2019;7350;7350;7400;7325;34.23M;-0.34%
12/10/2019;7375;7200;7400;7200;66.12M;1.72%
12/09/2019;7250;7200;7300;7200;36.05M;1.05%
12/06/2019;7175;7200;7225;7125;26.86M;0.00%
12/05/2019;7175;7100;7200;7075;37.11M;1.41%
12/04/2019;7075;7075;7150;7050;32.90M;-1.39%
12/03/2019;7175;7050;7175;7025;39.52M;1.06%
12/02/2019;7100;6975;7150;6925;37.28M;1.79%
11/29/2019;6975;6775;7000;6775;26.63M;2.95%
11/28/2019;6775;6850;6900;6775;28.14M;-1.81%
11/27/2019;6900;6825;6975;6800;36.46M;-0.36%
11/26/2019;6925;7000;7050;6900;86.77M;-0.72%
11/25/2019;6975;7000;7050;6925;23.84M;-1.41%
11/22/2019;7075;7100;7175;7050;20.23M;-1.39%
11/21/2019;7175;7000;7200;6950;30.47M;1.06%
11/20/2019;7100;7150;7200;7050;23.36M;-0.70%
11/19/2019;7150;7025;7150;6950;33.50M;2.51%
11/18/2019;6975;6950;7025;6875;30.64M;0.36%
11/15/2019;6950;6925;7025;6925;23.51M;1.09%
11/14/2019;6875;6875;6900;6700;33.35M;0.00%
11/13/2019;6875;7000;7000;6775;37.57M;-2.14%
11/12/2019;7025;7000;7100;6925;26.45M;-0.35%
11/11/2019;7050;7075;7100;6975;22.61M;-0.70%
11/08/2019;7100;6975;7150;6850;38.18M;1.43%
11/07/2019;7000;7025;7025;6775;39.38M;0.36%
11/06/2019;6975;7175;7200;6825;56.59M;-3.13%
11/05/2019;7200;6950;7200;6925;47.13M;4.73%
11/04/2019;6875;7000;7025;6875;28.29M;-1.43%
11/01/2019;6975;7025;7025;6925;12.18M;-0.71%
10/31/2019;7025;7050;7050;6900;39.08M;0.00%
10/30/2019;7025;7075;7075;6975;23.83M;-1.06%
10/29/2019;7100;7100;7150;7000;45.87M;1.43%
10/28/2019;7000;7000;7075;6925;23.19M;0.00%
10/25/2019;7000;7275;7275;6975;52.87M;-3.11%
10/24/2019;7225;7125;7250;7075;66.40M;2.12%
10/23/2019;7075;6825;7100;6750;49.22M;3.66%
